phosphopyruvate hydratase complex	GO:0000015
cytoplasmic side of plasma membrane	GO:0009898
auxin efflux carrier complex	GO:0009921
fatty acid elongase complex	GO:0009923
basal plasma membrane	GO:0009925
longitudinal side of cell surface	GO:0009930
chloroplast envelope	GO:0009941
cell surface	GO:0009986
cortical microtubule, transverse to long axis	GO:0010005
Toc complex	GO:0010006
magnesium chelatase complex	GO:0010007
endosome membrane	GO:0010008
cytoplasmic side of endosome membrane	GO:0010009
ER body	GO:0010168
thioglucosidase complex	GO:0010169
glucose-1-phosphate adenylyltransferase complex	GO:0010170
plastid pyruvate dehydrogenase complex	GO:0010240
chloroplast outer membrane translocon	GO:0010278
senescence-associated vacuole	GO:0010282
plastoglobule	GO:0010287
pyrophosphate-dependent phosphofructokinase complex	GO:0010316
pyrophosphate-dependent phosphofructokinase complex, alpha-subunit complex	GO:0010317
pyrophosphate-dependent phosphofructokinase complex, beta-subunit complex	GO:0010318
stromule	GO:0010319
cellulose synthase complex	GO:0010330
external side of cell wall	GO:0010339
extracellular isoamylase complex	GO:0010367
chloroplast isoamylase complex	GO:0010368
chromocenter	GO:0010369
perinucleolar chromocenter	GO:0010370
nuclear dicing body	GO:0010445
cytoplasmic stress granule	GO:0010494
NAD(P)H dehydrogenase complex (plastoquinone)	GO:0010598
endomembrane system	GO:0012505
vesicle membrane	GO:0012506
ER to Golgi transport vesicle membrane	GO:0012507
Golgi to ER transport vesicle membrane	GO:0012508
inter-Golgi transport vesicle membrane	GO:0012509
trans-Golgi network transport vesicle membrane	GO:0012510
monolayer-surrounded lipid storage body	GO:0012511
postsynaptic density	GO:0014069
junctional sarcoplasmic reticulum membrane	GO:0014701
free sarcoplasmic reticulum membrane	GO:0014702
intercalated disc	GO:0014704
C zone	GO:0014705
spectrin-associated cytoskeleton	GO:0014731
longitudinal sarcoplasmic reticulum	GO:0014801
terminal cisterna	GO:0014802
longitudinal sarcoplasmic reticulum lumen	GO:0014803
terminal cisterna lumen	GO:0014804
anchored component of membrane	GO:0031225
Cajal body	GO:0015030
methane monooxygenase complex	GO:0015050
pore complex	GO:0046930
integral component of cell outer membrane	GO:0045203
type II protein secretion system complex	GO:0015627
actin cytoskeleton	GO:0015629
microtubule cytoskeleton	GO:0015630
large ribosomal subunit	GO:0015934
small ribosomal subunit	GO:0015935
Nebenkern	GO:0016006
mitochondrial derivative	GO:0016007
major mitochondrial derivative	GO:0016008
minor mitochondrial derivative	GO:0016009
dystrophin-associated glycoprotein complex	GO:0016010
dystroglycan complex	GO:0016011
sarcoglycan complex	GO:0016012
syntrophin complex	GO:0016013
dystrobrevin complex	GO:0016014
cytoplasmic membrane-bounded vesicle	GO:0016023
inaD signaling complex	GO:0016027
rhabdomere	GO:0016028
subrhabdomeral cisterna	GO:0016029
zeta DNA polymerase complex	GO:0016035
polyketide synthase complex	GO:0034081
procollagen-proline 4-dioxygenase complex	GO:0016222
inclusion body	GO:0016234
aggresome	GO:0016235
prefoldin complex	GO:0016272
eukaryotic 43S preinitiation complex	GO:0016282
basolateral plasma membrane	GO:0016323
apical plasma membrane	GO:0016324
apicolateral plasma membrane	GO:0016327
lateral plasma membrane	GO:0016328
catenin complex	GO:0016342
nuclear matrix	GO:0016363
RISC complex	GO:0016442
X chromosome located dosage compensation complex, transcription activating	GO:0016456
myosin complex	GO:0016459
myosin II complex	GO:0016460
unconventional myosin complex	GO:0016461
chaperonin ATPase complex	GO:0016465
vacuolar proton-transporting V-type ATPase complex	GO:0016471
sodium ion-transporting two-sector ATPase complex	GO:0016472
sodium ion-transporting F-type ATPase complex	GO:0016473
sodium ion-transporting V-type ATPase complex	GO:0016474
mitochondrial fatty acid beta-oxidation multienzyme complex	GO:0016507
core-binding factor complex	GO:0016513
SWI/SNF complex	GO:0016514
interleukin-4 receptor complex	GO:0016516
sarcoplasm	GO:0016528
sarcoplasmic reticulum	GO:0016529
cyclin-dependent protein kinase 5 holoenzyme complex	GO:0016533
Sin3 complex	GO:0016580
NuRD complex	GO:0016581
RSC complex	GO:0016586
Isw1 complex	GO:0016587
NURF complex	GO:0016589
ACF complex	GO:0016590
DNA-directed RNA polymerase II, holoenzyme	GO:0016591
mediator complex	GO:0016592
Cdc73/Paf1 complex	GO:0016593
flotillin complex	GO:0016600
CCAAT-binding factor complex	GO:0016602
nuclear body	GO:0016604
PML body	GO:0016605
LYSP100-associated nuclear domain	GO:0016606
nuclear speck	GO:0016607
nitrogenase complex	GO:0016610
iron-iron nitrogenase complex	GO:0016611
molybdenum-iron nitrogenase complex	GO:0016612
vanadium-iron nitrogenase complex	GO:0016613
follicle-stimulating hormone complex	GO:0016914
glycine-gated chloride channel complex	GO:0016935
kinesin I complex	GO:0016938
kinesin II complex	GO:0016939
insulin-like growth factor binding protein complex	GO:0016942
myosin phosphatase complex	GO:0017023
transcriptional repressor complex	GO:0017053
negative cofactor 2 complex	GO:0017054
serine C-palmitoyltransferase complex	GO:0017059
intracellular cyclic nucleotide activated cation channel complex	GO:0017071
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex	GO:0017086
mitochondrial processing peptidase complex	GO:0017087
meprin A complex	GO:0017090
aminoacyl-tRNA synthetase multienzyme complex	GO:0017101
methionyl glutamyl tRNA synthetase complex	GO:0017102
glutamate-cysteine ligase complex	GO:0017109
single-stranded DNA-dependent ATP-dependent DNA helicase complex	GO:0017117
Golgi transport complex	GO:0017119
protein N-acetylglucosaminyltransferase complex	GO:0017122
mitochondrial electron transfer flavoprotein complex	GO:0017133
N-methyl-D-aspartate selective glutamate receptor complex	GO:0017146
glucosidase II complex	GO:0017177
translation release factor complex	GO:0018444
host	GO:0018995
molybdopterin synthase complex	GO:0019008
virion	GO:0019012
viral nucleocapsid	GO:0019013
viral genome	GO:0019015
non-segmented viral genome	GO:0019016
segmented viral genome	GO:0019017
bipartite viral genome	GO:0019018
tripartite viral genome	GO:0019019
multipartite viral genome	GO:0019020
DNA viral genome	GO:0019021
RNA viral genome	GO:0019022
dsRNA viral genome	GO:0019023
ssRNA viral genome	GO:0019024
positive sense viral genome	GO:0019025
negative sense viral genome	GO:0019026
ambisense viral genome	GO:0019027
viral capsid	GO:0019028
helical viral capsid	GO:0019029
icosahedral viral capsid	GO:0019030
viral envelope	GO:0019031
viral tegument	GO:0019033
viral replication complex	GO:0019034
viral integration complex	GO:0019035
viral transcriptional complex	GO:0019036
viral assembly intermediate	GO:0019037
provirus	GO:0019038
histamine-gated chloride channel complex	GO:0019183
snRNA-activating protein complex	GO:0019185
phosphoenolpyruvate-dependent sugar phosphotransferase complex	GO:0019197
neuron projection	GO:0043005
proteasome core complex, alpha-subunit complex	GO:0019773
proteasome core complex, beta-subunit complex	GO:0019774
Type I site-specific deoxyribonuclease complex	GO:0019812
Type III site-specific deoxyribonuclease complex	GO:0019813
immunoglobulin complex	GO:0019814
B cell receptor complex	GO:0019815
P1 peroxisome	GO:0019819
P2 peroxisome	GO:0019820
P3 peroxisome	GO:0019821
P4 peroxisome	GO:0019822
P5 peroxisome	GO:0019823
P6 peroxisome	GO:0019824
organelle inner membrane	GO:0019866
outer membrane	GO:0019867
extrinsic component of plasma membrane	GO:0019897
cyclin-dependent protein kinase activating kinase holoenzyme complex	GO:0019907
nuclear cyclin-dependent protein kinase holoenzyme complex	GO:0019908
mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase complex	GO:0019910
host cell plasma membrane	GO:0020002
symbiont-containing vacuole	GO:0020003
symbiont-containing vacuolar space	GO:0020004
symbiont-containing vacuole membrane	GO:0020005
symbiont-containing vacuolar membrane network	GO:0020006
apical complex	GO:0020007
rhoptry	GO:0020008
microneme	GO:0020009
conoid	GO:0020010
apicoplast	GO:0020011
glycosome	GO:0020015
ciliary pocket	GO:0020016
ciliary pocket membrane	GO:0020018
food vacuole	GO:0020020
acidocalcisome	GO:0020022
kinetoplast	GO:0020023
subpellicular microtubule	GO:0020025
merozoite dense granule	GO:0020026
infected host cell surface knob	GO:0020030
polar ring of apical complex	GO:0020031
basal ring of apical complex	GO:0020032
Maurer's cleft	GO:0020036
subpellicular network	GO:0020038
pellicle	GO:0020039
proteasome-activating nucleotidase complex	GO:0022623
proteasome accessory complex	GO:0022624
cytosolic ribosome	GO:0022626
chloroplast large ribosomal subunit	GO:0022628
chloroplast small ribosomal subunit	GO:0022629
T cell receptor complex	GO:0042101
TRAPP complex	GO:0030008
CCR4-NOT complex	GO:0030014
CCR4-NOT core complex	GO:0030015
myofibril	GO:0030016
sarcomere	GO:0030017
Z disc	GO:0030018
lamellipodium	GO:0030027
cell junction	GO:0030054
cell-substrate junction	GO:0030055
hemidesmosome	GO:0030056
desmosome	GO:0030057
mitochondrial crista	GO:0030061
mitochondrial tricarboxylic acid cycle enzyme complex	GO:0030062
light-harvesting complex	GO:0030076
plasma membrane light-harvesting complex	GO:0030077
light-harvesting complex, core complex	GO:0030078
light-harvesting complex, peripheral complex	GO:0030079
B875 antenna complex	GO:0030080
B800-820 antenna complex	GO:0030081
B800-850 antenna complex	GO:0030082
PSI associated light-harvesting complex I, LHCIa subcomplex	GO:0030083
PSI associated light-harvesting complex I, LHCIb subcomplex	GO:0030084
PSII associated light-harvesting complex II, peripheral complex, LHCIIb subcomplex	GO:0030085
phycobilisome	GO:0030089
chloroplast photosystem I	GO:0030093
plasma membrane-derived photosystem I	GO:0030094
chloroplast photosystem II	GO:0030095
plasma membrane-derived thylakoid photosystem II	GO:0030096
glycocalyx	GO:0030112
slime layer	GO:0030114
S-layer	GO:0030115
membrane coat	GO:0030117
clathrin coat	GO:0030118
vesicle coat	GO:0030120
AP-3 adaptor complex	GO:0030123
AP-4 adaptor complex	GO:0030124
clathrin vesicle coat	GO:0030125
COPII vesicle coat	GO:0030127
clathrin coat of endocytic vesicle	GO:0030128
clathrin coat of synaptic vesicle	GO:0030129
clathrin coat of trans-Golgi network vesicle	GO:0030130
clathrin adaptor complex	GO:0030131
clathrin coat of coated pit	GO:0030132
coated vesicle	GO:0030135
clathrin-coated vesicle	GO:0030136
trans-Golgi network transport vesicle	GO:0030140
inter-Golgi transport vesicle	GO:0030143
integral component of Golgi membrane	GO:0030173
filopodium	GO:0030175
integral component of endoplasmic reticulum membrane	GO:0030176
insulin control element activator complex	GO:0030232
type I protein secretion system complex	GO:0030256
type III protein secretion system complex	GO:0030257
integral component of synaptic vesicle membrane	GO:0030285
dynein complex	GO:0030286
cell wall-bounded periplasmic space	GO:0030287
outer membrane-bounded periplasmic space	GO:0030288
protein phosphatase 4 complex	GO:0030289
external encapsulating structure	GO:0030312
cell envelope	GO:0030313
junctional membrane complex	GO:0030314
T-tubule	GO:0030315
ferredoxin:thioredoxin reductase complex	GO:0030386
axon	GO:0030424
dendrite	GO:0030425
growth cone	GO:0030426
site of polarized growth	GO:0030427
cell septum	GO:0030428
host cell cytoplasm	GO:0030430
yeast-form cell wall	GO:0030445
hyphal cell wall	GO:0030446
actin cap	GO:0030478
actin cortical patch	GO:0030479
smooth muscle contractile fiber	GO:0030485
smooth muscle dense body	GO:0030486
midbody	GO:0030496
granulocyte macrophage colony-stimulating factor receptor complex	GO:0030526
cytoplasmic vesicle membrane	GO:0030659
Golgi-associated vesicle membrane	GO:0030660
chitosome membrane	GO:0030661
coated vesicle membrane	GO:0030662
COPI-coated vesicle membrane	GO:0030663
clathrin-coated vesicle membrane	GO:0030665
endocytic vesicle membrane	GO:0030666
merozoite dense granule membrane	GO:0030668
clathrin-coated endocytic vesicle membrane	GO:0030669
phagocytic vesicle membrane	GO:0030670
clathrin-coated phagocytic vesicle membrane	GO:0030671
synaptic vesicle membrane	GO:0030672
axolemma	GO:0030673
ribonuclease P complex	GO:0030677
mitochondrial ribonuclease P complex	GO:0030678
cyanelle ribonuclease P complex	GO:0030679
dimeric ribonuclease P complex	GO:0030680
multimeric ribonuclease P complex	GO:0030681
preribosome	GO:0030684
nucleolar preribosome	GO:0030685
90S preribosome	GO:0030686
preribosome, large subunit precursor	GO:0030687
preribosome, small subunit precursor	GO:0030688
Noc complex	GO:0030689
Noc1p-Noc2p complex	GO:0030690
Noc2p-Noc3p complex	GO:0030691
Noc4p-Nop14p complex	GO:0030692
bacterial-type flagellum basal body, rod	GO:0030694
glycine reductase complex	GO:0030700
autosome	GO:0030849
cortical cytoskeleton	GO:0030863
cortical actin cytoskeleton	GO:0030864
rough endoplasmic reticulum membrane	GO:0030867
smooth endoplasmic reticulum membrane	GO:0030868
RENT complex	GO:0030869
Mre11 complex	GO:0030870
nucleolar chromatin	GO:0030874
rDNA protrusion	GO:0030875
interleukin-20 receptor complex	GO:0030876
beta-catenin destruction complex	GO:0030877
RNA polymerase complex	GO:0030880
VCB complex	GO:0030891
mitotic cohesin complex	GO:0030892
meiotic cohesin complex	GO:0030893
replisome	GO:0030894
apolipoprotein B mRNA editing enzyme complex	GO:0030895
checkpoint clamp complex	GO:0030896
HOPS complex	GO:0030897
retromer complex	GO:0030904
retromer complex, outer shell	GO:0030905
retromer complex, inner shell	GO:0030906
MBF transcription complex	GO:0030907
STAGA complex	GO:0030914
Smc5-Smc6 complex	GO:0030915
ADPG pyrophosphorylase complex	GO:0030929
homotetrameric ADPG pyrophosphorylase complex	GO:0030930
heterotetrameric ADPG pyrophosphorylase complex	GO:0030931
amyloplast ADPG pyrophosphorylase complex	GO:0030932
chloroplast ADPG pyrophosphorylase complex	GO:0030933
anchoring collagen complex	GO:0030934
sheet-forming collagen trimer	GO:0030935
transmembrane collagen trimer	GO:0030936
collagen type XVII trimer	GO:0030937
collagen type XVIII trimer	GO:0030938
glutamyl-tRNA(Gln) amidotransferase complex	GO:0030956
RITS complex	GO:0030958
NADH dehydrogenase complex	GO:0030964
cortical microtubule cytoskeleton	GO:0030981
high molecular weight kininogen receptor complex	GO:0030988
intraciliary transport particle	GO:0030990
intraciliary transport particle A	GO:0030991
intraciliary transport particle B	GO:0030992
axonemal heterotrimeric kinesin-II complex	GO:0030993
linear element	GO:0030998
actin rod	GO:0031002
actin tubule	GO:0031003
potassium ion-transporting ATPase complex	GO:0031004
plastid ADPG pyrophosphorylase complex	GO:0031009
ISWI-type complex	GO:0031010
Ino80 complex	GO:0031011
extracellular matrix	GO:0031012
nuclear pore central transport channel	GO:0044613
mitochondrial mRNA editing complex	GO:0031019
plastid mRNA editing complex	GO:0031020
interphase microtubule organizing center	GO:0031021
glutamate synthase complex	GO:0031026
glutamate synthase complex (NADH)	GO:0031027
macronucleus	GO:0031039
micronucleus	GO:0031040
dense core granule	GO:0031045
nucleocytoplasmic shuttling complex	GO:0031074
nuclear pore outer ring	GO:0031080
BLOC complex	GO:0031082
BLOC-1 complex	GO:0031083
BLOC-2 complex	GO:0031084
BLOC-3 complex	GO:0031085
platelet dense granule membrane	GO:0031088
platelet dense granule lumen	GO:0031089
organelle membrane	GO:0031090
platelet alpha granule	GO:0031091
platelet alpha granule membrane	GO:0031092
platelet alpha granule lumen	GO:0031093
platelet dense tubular network	GO:0031094
platelet dense tubular network membrane	GO:0031095
platelet dense tubular network lumen	GO:0031096
medial cortex	GO:0031097
septin complex	GO:0031105
pseudopodium	GO:0031143
spore wall	GO:0031160
contractile vacuolar membrane	GO:0031164
integral component of contractile vacuolar membrane	GO:0031165
integral component of vacuolar membrane	GO:0031166
SNARE complex	GO:0031201
endoplasmic reticulum Sec complex	GO:0031205
Sec62/Sec63 complex	GO:0031207
SCAR complex	GO:0031209
endoplasmic reticulum palmitoyltransferase complex	GO:0031211
RSF complex	GO:0031213
intrinsic component of membrane	GO:0031224
intrinsic component of plasma membrane	GO:0031226
intrinsic component of endoplasmic reticulum membrane	GO:0031227
intrinsic component of Golgi membrane	GO:0031228
intrinsic component of nuclear inner membrane	GO:0031229
intrinsic component of cell outer membrane	GO:0031230
intrinsic component of peroxisomal membrane	GO:0031231
extrinsic component of external side of plasma membrane	GO:0031232
intrinsic component of external side of plasma membrane	GO:0031233
extrinsic component of cytoplasmic side of plasma membrane	GO:0031234
intrinsic component of the cytoplasmic side of the plasma membrane	GO:0031235
extrinsic component of periplasmic side of plasma membrane	GO:0031236
intrinsic component of periplasmic side of plasma membrane	GO:0031237
external side of cell outer membrane	GO:0031240
periplasmic side of cell outer membrane	GO:0031241
extrinsic component of external side of cell outer membrane	GO:0031242
intrinsic component of external side of cell outer membrane	GO:0031243
extrinsic component of cell outer membrane	GO:0031244
extrinsic component of periplasmic side of cell outer membrane	GO:0031245
intrinsic component of periplasmic side of cell outer membrane	GO:0031246
protein acetyltransferase complex	GO:0031248
anaerobic ribonucleoside-triphosphate reductase complex	GO:0031250
PAN complex	GO:0031251
cell leading edge	GO:0031252
cell projection membrane	GO:0031253
cell trailing edge	GO:0031254
lateral part of motile cell	GO:0031255
leading edge membrane	GO:0031256
cell trailing edge membrane	GO:0031257
lamellipodium membrane	GO:0031258
uropod membrane	GO:0031259
pseudopodium membrane	GO:0031260
DNA replication preinitiation complex	GO:0031261
Ndc80 complex	GO:0031262
death-inducing signaling complex	GO:0031264
CD95 death-inducing signaling complex	GO:0031265
TRAIL death-inducing signaling complex	GO:0031266
replication fork protection complex	GO:0031298
intrinsic component of organelle membrane	GO:0031300
integral component of organelle membrane	GO:0031301
intrinsic component of endosome membrane	GO:0031302
integral component of endosome membrane	GO:0031303
intrinsic component of mitochondrial inner membrane	GO:0031304
integral component of mitochondrial inner membrane	GO:0031305
intrinsic component of mitochondrial outer membrane	GO:0031306
integral component of mitochondrial outer membrane	GO:0031307
intrinsic component of nuclear outer membrane	GO:0031308
integral component of nuclear outer membrane	GO:0031309
intrinsic component of vacuolar membrane	GO:0031310
intrinsic component of contractile vacuolar membrane	GO:0031311
extrinsic component of organelle membrane	GO:0031312
extrinsic component of endosome membrane	GO:0031313
extrinsic component of mitochondrial inner membrane	GO:0031314
extrinsic component of mitochondrial outer membrane	GO:0031315
extrinsic component of nuclear outer membrane	GO:0031316
tripartite ATP-independent periplasmic transporter complex	GO:0031317
RNAi effector complex	GO:0031332
intrinsic component of plastid membrane	GO:0031350
integral component of plastid membrane	GO:0031351
intrinsic component of plastid inner membrane	GO:0031352
integral component of plastid inner membrane	GO:0031353
intrinsic component of plastid outer membrane	GO:0031354
integral component of plastid outer membrane	GO:0031355
intrinsic component of chloroplast inner membrane	GO:0031356
integral component of chloroplast inner membrane	GO:0031357
intrinsic component of chloroplast outer membrane	GO:0031358
integral component of chloroplast outer membrane	GO:0031359
intrinsic component of thylakoid membrane	GO:0031360
integral component of thylakoid membrane	GO:0031361
anchored component of external side of plasma membrane	GO:0031362
ubiquitin conjugating enzyme complex	GO:0031371
UBC13-MMS2 complex	GO:0031372
RNA-directed RNA polymerase complex	GO:0031379
nuclear RNA-directed RNA polymerase complex	GO:0031380
viral RNA-directed RNA polymerase complex	GO:0031381
MPF complex	GO:0031387
Rad17 RFC-like complex	GO:0031389
Ctf18 RFC-like complex	GO:0031390
Elg1 RFC-like complex	GO:0031391
bursicon neuropeptide hormone complex	GO:0031395
cytoplasmic vesicle	GO:0031410
gas vesicle	GO:0031411
N-terminal protein acetyltransferase complex	GO:0031414
NatA complex	GO:0031415
NatB complex	GO:0031416
NatC complex	GO:0031417
invertasome	GO:0031421
RecQ helicase-Topo III complex	GO:0031422
box C/D snoRNP complex	GO:0031428
box H/ACA snoRNP complex	GO:0031429
M band	GO:0031430
Dbf4-dependent protein kinase complex	GO:0031431
BRCA1-BARD1 complex	GO:0031436
cullin-RING ubiquitin ligase complex	GO:0031461
Cul2-RING ubiquitin ligase complex	GO:0031462
Cul3-RING ubiquitin ligase complex	GO:0031463
Cul4A-RING E3 ubiquitin ligase complex	GO:0031464
Cul4B-RING E3 ubiquitin ligase complex	GO:0031465
Cul5-RING ubiquitin ligase complex	GO:0031466
Cul7-RING ubiquitin ligase complex	GO:0031467
polyhedral organelle	GO:0031469
carboxysome	GO:0031470
ethanolamine degradation polyhedral organelle	GO:0031471
propanediol degradation polyhedral organelle	GO:0031472
myosin IV complex	GO:0031474
myosin V complex	GO:0031475
myosin VI complex	GO:0031476
myosin VII complex	GO:0031477
myosin VIII complex	GO:0031478
myosin IX complex	GO:0031479
myosin X complex	GO:0031480
myosin XI complex	GO:0031481
myosin XII complex	GO:0031482
myosin XIII complex	GO:0031483
myosin XIV complex	GO:0031484
myosin XV complex	GO:0031485
myosin XVI complex	GO:0031486
myosin XVII complex	GO:0031487
myosin XVIII complex	GO:0031488
TRAMP complex	GO:0031499
Tea1 cell-end complex	GO:0031500
mannosyltransferase complex	GO:0031501
dolichyl-phosphate-mannose-protein mannosyltransferase complex	GO:0031502
SUMO activating enzyme complex	GO:0031510
Mis6-Sim4 complex	GO:0031511
motile primary cilium	GO:0031512
nonmotile primary cilium	GO:0031513
motile cilium	GO:0031514
tRNA (m1A) methyltransferase complex	GO:0031515
CBF3 complex	GO:0031518
PcG protein complex	GO:0031519
plasma membrane of cell tip	GO:0031520
spitzenkorper	GO:0031521
cell envelope Sec protein transport complex	GO:0031522
Myb complex	GO:0031523
brush border membrane	GO:0031526
filopodium membrane	GO:0031527
microvillus membrane	GO:0031528
mRNA cap methyltransferase complex	GO:0031533
cellular bud neck polarisome	GO:0031560
cellular bud tip polarisome	GO:0031561
hyphal tip polarisome	GO:0031562
mating projection tip polarisome	GO:0031563
AMP-activated protein kinase complex	GO:0031588
centrosomal corona	GO:0031592
neuromuscular junction	GO:0031594
nuclear proteasome complex	GO:0031595
ER proteasome complex	GO:0031596
cytosolic proteasome complex	GO:0031597
nuclear proteasome regulatory particle	GO:0031598
ER proteasome regulatory particle	GO:0031599
cytosolic proteasome regulatory particle	GO:0031600
nuclear proteasome core complex	GO:0031601
ER proteasome core complex	GO:0031602
cytosolic proteasome core complex	GO:0031603
nuclear proteasome core complex, alpha-subunit complex	GO:0031604
ER proteasome core complex, alpha-subunit complex	GO:0031605
cytosolic proteasome core complex, alpha-subunit complex	GO:0031606
nuclear proteasome core complex, beta-subunit complex	GO:0031607
ER proteasome core complex, beta-subunit complex	GO:0031608
cytosolic proteasome core complex, beta-subunit complex	GO:0031609
nuclear proteasome regulatory particle, base subcomplex	GO:0031610
ER proteasome regulatory particle, base subcomplex	GO:0031611
cytosolic proteasome regulatory particle, base subcomplex	GO:0031612
nuclear proteasome regulatory particle, lid subcomplex	GO:0031613
ER proteasome regulatory particle, lid subcomplex	GO:0031614
cytosolic proteasome regulatory particle, lid subcomplex	GO:0031615
spindle pole centrosome	GO:0031616
NMS complex	GO:0031617
nuclear pericentric heterochromatin	GO:0031618
xanthophore	GO:0031633
A band	GO:0031672
H zone	GO:0031673
I band	GO:0031674
plasma membrane-derived thylakoid membrane	GO:0031676
G-protein beta/gamma-subunit complex	GO:0031680
haptoglobin-hemoglobin complex	GO:0031838
Tic complex	GO:0031897
chromoplast envelope	GO:0031898
chromoplast inner membrane	GO:0031899
chromoplast outer membrane	GO:0031900
early endosome membrane	GO:0031901
late endosome membrane	GO:0031902
microbody membrane	GO:0031903
endosome lumen	GO:0031904
early endosome lumen	GO:0031905
late endosome lumen	GO:0031906
microbody lumen	GO:0031907
glyoxysomal lumen	GO:0031908
cytostome	GO:0031910
cytoproct	GO:0031911
oral apparatus	GO:0031912
contractile vacuole pore	GO:0031913
TORC1 complex	GO:0031931
TORC2 complex	GO:0031932
telomeric heterochromatin	GO:0031933
mating-type region heterochromatin	GO:0031934
filamentous actin	GO:0031941
i-AAA complex	GO:0031942
nuclear membrane	GO:0031965
mitochondrial membrane	GO:0031966
organelle envelope	GO:0031967
organelle outer membrane	GO:0031968
chloroplast membrane	GO:0031969
organelle envelope lumen	GO:0031970
chloroplast intermembrane space	GO:0031972
chromoplast intermembrane space	GO:0031973
membrane-enclosed lumen	GO:0031974
envelope	GO:0031975
plastid thylakoid	GO:0031976
thylakoid lumen	GO:0031977
plastid thylakoid lumen	GO:0031978
plasma membrane-derived thylakoid lumen	GO:0031979
nuclear lumen	GO:0031981
vesicle	GO:0031982
vesicle lumen	GO:0031983
organelle subcompartment	GO:0031984
Golgi cisterna	GO:0031985
proteinoplast	GO:0031986
membrane-bounded vesicle	GO:0031988
interleukin-28 receptor complex	GO:0032002
early phagosome	GO:0032009
phagolysosome	GO:0032010
mitochondrial cloud	GO:0032019
NELF complex	GO:0032021
integrator complex	GO:0032039
small-subunit processome	GO:0032040
DSIF complex	GO:0032044
guanyl-nucleotide exchange factor complex	GO:0032045
micropexophagy-specific membrane apparatus	GO:0032046
mitosome	GO:0032047
bleb	GO:0032059
Type IV site-specific deoxyribonuclease complex	GO:0032068
SMC loading complex	GO:0032116
horsetail-astral microtubule array	GO:0032117
deep fiber	GO:0032123
eisosome	GO:0032126
dense core granule membrane	GO:0032127
chromosome passenger complex	GO:0032133
4-aminobutyrate transaminase complex	GO:0032144
mitotic septin complex	GO:0032151
meiotic septin complex	GO:0032152
cell division site	GO:0032153
cleavage furrow	GO:0032154
cell division site part	GO:0032155
septin cytoskeleton	GO:0032156
prospore contractile ring	GO:0032157
septin band	GO:0032158
septin cap	GO:0032159
septin filament array	GO:0032160
cleavage apparatus septin structure	GO:0032161
mating projection septin band	GO:0032162
hyphal septin band	GO:0032163
hyphal septin cap	GO:0032164
prospore septin filament array	GO:0032165
chlamydospore septin filament array	GO:0032166
hyphal septin ring	GO:0032168
prospore septin ring	GO:0032169
pseudohyphal septin ring	GO:0032170
germ tube septin cap	GO:0032171
germ tube septin ring	GO:0032172
septin collar	GO:0032173
cellular bud neck septin collar	GO:0032174
mating projection septin ring	GO:0032175
split septin rings	GO:0032176
cellular bud neck split septin rings	GO:0032177
medial membrane band	GO:0032178
germ tube	GO:0032179
post-lysosomal vacuole	GO:0032195
Rpd3S complex	GO:0032221
asymmetric synapse	GO:0032279
symmetric synapse	GO:0032280
alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex	GO:0032281
plastid acetyl-CoA carboxylase complex	GO:0032282
plastid acetate CoA-transferase complex	GO:0032283
plastid biotin carboxylase complex	GO:0032284
ribonuclease H2 complex	GO:0032299
mismatch repair complex	GO:0032300
MutSalpha complex	GO:0032301
MutSbeta complex	GO:0032302
angiogenin-PRI complex	GO:0032311
MutLalpha complex	GO:0032389
MutLbeta complex	GO:0032390
photoreceptor connecting cilium	GO:0032391
MHC class Ib protein complex	GO:0032398
extrinsic component of lysosome membrane	GO:0032419
stereocilium	GO:0032420
stereocilium bundle	GO:0032421
stereocilium bundle tip	GO:0032426
actin filament bundle	GO:0032432
filopodium tip	GO:0032433
cuticular plate	GO:0032437
activin responsive factor complex	GO:0032444
CBM complex	GO:0032449
cytoplasmic side of mitochondrial outer membrane	GO:0032473
decaprenyl diphosphate synthase complex	GO:0032476
homodimeric decaprenyl diphosphate synthase complex	GO:0032477
heterotetrameric decaprenyl diphosphate synthase complex	GO:0032478
SOD1-calcineurin complex	GO:0032517
cortical endoplasmic reticulum	GO:0032541
CURI complex	GO:0032545
aleurone grain membrane	GO:0032578
apical lamina of hyaline layer	GO:0032579
Golgi cisterna membrane	GO:0032580
growth cone membrane	GO:0032584
multivesicular body membrane	GO:0032585
protein storage vacuole membrane	GO:0032586
ruffle membrane	GO:0032587
trans-Golgi network membrane	GO:0032588
neuron projection membrane	GO:0032589
dendrite membrane	GO:0032590
dendritic spine membrane	GO:0032591
integral component of mitochondrial membrane	GO:0032592
insulin-responsive compartment	GO:0032593
NHE3/E3KARP/ACTN4 complex	GO:0032766
Piccolo NuA4 histone acetyltransferase complex	GO:0032777
ELL-EAF complex	GO:0032783
SMN complex	GO:0032797
Swi5-Sfr1 complex	GO:0032798
carboxy-terminal domain protein kinase complex	GO:0032806
DNA ligase IV complex	GO:0032807
neuronal cell body membrane	GO:0032809
cell projection cytoplasm	GO:0032838
dendrite cytoplasm	GO:0032839
ERMES complex	GO:0032865
